Campinas;Sumare;Campinas;Sumare;Sumare;23;64;Seila;Neide;59;Maria;Sumare;Jose;Itatiba;Santa Barbara
Sumare;71;Neide;Seila;Itatiba;Americana;Campinas;Neide;Seila2;Jose;52;61;63;17;Seila
Maria;14;Americana;Neide;Campinas;Seila2;Seila;69;38;Sumare;Sumare;Sumare;12;Seila2;Americana
Maria;Itatiba;28;Campinas;Seila2;Seila2;Seila;50;Itatiba;53;Santa Barbara;17;24;42;Neide
58;35;Campinas;Santa Barbara;Santa Barbara;Americana;Maria;Campinas;73;Sumare;Seila;Sumare;Campinas;Americana;Sumare
14;Sumare;Maria;59;Americana;12;Itatiba;70;Santa Barbara;Campinas;Itatiba;Seila2;Sumare;Campinas;Campinas
Sumare;Americana;Santa Barbara;Jose;Campinas;Neide;Jose;15;69;Itatiba;Americana;Americana;Santa Barbara;Seila2;66
Itatiba;Itatiba;Maria;Campinas;55;Campinas;Jose;Americana;Seila;Americana;31;Santa Barbara;Santa Barbara;24;Seila
17;Seila2;Itatiba;45;41;Campinas;Americana;Campinas;Americana;Itatiba;Campinas;Santa Barbara;25;Itatiba;Maria
Not Named;Maria;42;Campinas;Campinas;Americana;29;33;Santa Barbara;Maria;Seila;49;Campinas;Seila;Campinas
55;Americana;Campinas;Neide;44;12;Americana;Americana;Seila2;Santa Barbara;Itatiba;Campinas;Americana;Campinas;73
Maria;55;71;Itatiba;Americana;Campinas;Santa Barbara;74;Campinas;Itatiba;Jose;Itatiba;Sumare;Americana;Itatiba
24;Not Named;Americana;Seila2;Jose;73;Sumare;Itatiba;Maria;12;Not Named;69;Campinas;Seila;Americana
Americana;Santa Barbara;Itatiba;Americana;Americana;Campinas;Jose;Maria;Sumare;Jose;27;52;Seila;Itatiba;23
Campinas;Americana;Neide;Seila2;31;Seila2;Campinas;Maria;Itatiba;Sumare;Americana;Sumare;Santa Barbara;10;Americana
Neide;15;Santa Barbara;Sumare;Jose;Seila2;Maria;65;64;Americana;Maria;Americana;Campinas;Not Named;30
Americana;Maria;Neide;Santa Barbara;Itatiba;Not Named;66;Seila;Neide;20;Americana;Itatiba;Itatiba;Sumare;Santa Barbara
14;65;Campinas;Itatiba;Campinas;Maria;Campinas;Sumare;Neide;Americana;Campinas;Seila;Americana;Seila;Americana
Seila;Campinas;50;Campinas;Jose;Americana;40;Santa Barbara;47;Seila;Itatiba;Sumare;77;Maria;Itatiba
Neide;Americana;Itatiba;32;Americana;Seila;Itatiba;69;58;Americana;Neide;Santa Barbara;70;Sumare;63
Americana;25;69;Seila2;Santa Barbara;Itatiba;Maria;Itatiba;45;Americana;17;Seila2;Jose;11;Campinas
Sumare;Americana;Not Named;15;Itatiba;Not Named;Americana;Sumare;68;Sumare;Itatiba;45;Campinas;Seila2;75
Santa Barbara;11;Jose;Maria;Santa Barbara;Campinas;Neide;Jose;Itatiba;Maria;47;47;Seila2;Campinas;Seila2
Santa Barbara;Americana;Americana;Campinas;Seila;Maria;29;46;Seila2;Sumare;42;Neide;18;Americana;Campinas
Jose;Americana;Not Named;Campinas;Americana;Campinas;Americana;Jose;Seila2;Americana;Itatiba;Seila2;Santa Barbara;Campinas;Maria
Americana;Campinas;68;Campinas;Neide;Campinas;Maria;Itatiba;Santa Barbara;Maria;Itatiba;25;Seila;Santa Barbara;Seila
Itatiba;Campinas;Not Named;17;58;Campinas;Jose;Neide;Itatiba;Americana;Neide;Sumare;Seila2;Americana;Jose
Campinas;Americana;63;Seila2;14;Campinas;76;Sumare;Campinas;Itatiba;Americana;Seila;Americana;Americana;Not Named
76;Not Named;58;Campinas;Maria;Maria;Santa Barbara;Neide;Not Named;Campinas;57;Campinas;Campinas;Jose;Campinas
Campinas;Itatiba;73;Seila2;Seila;Americana;58;Itatiba;Neide;Not Named;Itatiba;Neide;Neide;Seila2;Americana
16;Campinas;Campinas;Americana;Sumare;73;Americana;21;47;38;Seila2;Maria;Not Named;Sumare;Itatiba
Campinas;Itatiba;Seila;Americana;Seila2;Seila;Santa Barbara;14;66;Itatiba;Neide;Sumare;Sumare;Sumare;Neide
Itatiba;Americana;Santa Barbara;Seila;Santa Barbara;Campinas;Santa Barbara;65;Itatiba;Seila;53;Seila;Seila2;11;Not Named
Itatiba;Itatiba;Santa Barbara;Seila2;Sumare;Jose;Itatiba;Itatiba;15;Neide;Americana;Americana;Seila2;Americana;Americana
Itatiba;73;43;Americana;Campinas;33;Americana;Campinas;Campinas;Americana;Maria;Santa Barbara;20;Americana;35
Seila;Seila;Seila2;Americana;Campinas;Itatiba;Americana;Itatiba;Santa Barbara;Maria;57;Seila;26;34;Santa Barbara
61;Itatiba;Neide;Seila2;Neide;Americana;13;Campinas;26;Sumare;36;Campinas;Sumare;Sumare;Itatiba
Seila2;Seila2;Maria;17;35;Sumare;18;19;Sumare;Maria;Maria;Americana;Santa Barbara;Seila;Santa Barbara
Americana;Santa Barbara;70;Campinas;Campinas;Sumare;Santa Barbara;69;Neide;Campinas;Americana;Seila;Itatiba;Seila2;Sumare
25;Americana;Sumare;Santa Barbara;Jose;69;Americana;Maria;56;Sumare;36;Sumare;Americana;Americana;Campinas
Santa Barbara;49;Maria;Itatiba;Sumare;45;Sumare;42;Sumare;Maria;Jose;49;Itatiba;Santa Barbara;Itatiba
Campinas;Seila2;Not Named;Seila2;35;Neide;Itatiba;Maria;16;Itatiba;55;Americana;17;Itatiba;14
46;Itatiba;26;Itatiba;42;53;Seila2;Itatiba;29;31;Seila;56;42;Neide;46
Americana;66;Itatiba;Itatiba;Itatiba;43;56;Jose;Neide;Campinas;Neide;Itatiba;Sumare;Seila2;Campinas
67;Neide;Seila;Itatiba;Maria;Jose;Santa Barbara;Itatiba;73;Neide;Campinas;34;Maria;76;23
Maria;28;Itatiba;25;Campinas;Campinas;Itatiba;Americana;40;Santa Barbara;Americana;Itatiba;63;Maria;Santa Barbara
Campinas;67;Campinas;Americana;Americana;Itatiba;63;Seila2;Sumare;Seila;Neide;Santa Barbara;Neide;Campinas;Campinas
Sumare;Not Named;Itatiba;Itatiba;46;63;Americana;46;Itatiba;46;Seila2;Itatiba;Maria;Campinas;Americana
Americana;20;20;Santa Barbara;Neide;Maria;Campinas;Campinas;Campinas;69;Americana;Itatiba;Americana;Americana;Not Named
Maria;Americana;Seila2;Seila2;Maria;76;47;Itatiba;19;Maria;Itatiba;Neide;27;Jose;63
Seila2;75;Neide;Campinas;58;Sumare;Neide;Neide;Campinas;Seila2;Itatiba;Seila2;Maria;Sumare;Neide
57;Sumare;Not Named;Itatiba;Campinas;Itatiba;Seila;Seila2;Seila;Seila;Not Named;Campinas;Not Named;Seila;Campinas
Itatiba;Seila;22;Itatiba;Americana;Santa Barbara;41;Sumare;Campinas;Itatiba;Seila2;Campinas;Neide;Americana;Seila
Sumare;Seila;Campinas;51;Seila;Itatiba;Americana;Itatiba;Americana;Itatiba;Americana;64;Americana;Americana;Jose
Sumare;Seila2;Maria;51;63;Sumare;Itatiba;56;Campinas;Seila;Santa Barbara;Jose;Sumare;Seila2;Maria
Santa Barbara;Itatiba;Not Named;Seila;Campinas;71;Itatiba;Santa Barbara;Neide;Americana;Not Named;Americana;Seila;Maria;Americana
25;Santa Barbara;Americana;57;Campinas;77;Neide;32;Seila;Americana;Santa Barbara;Campinas;31;Santa Barbara;71
Americana;Itatiba;Campinas;11;Santa Barbara;Sumare;Seila;Seila2;Jose;Campinas;Campinas;Campinas;Maria;Campinas;Itatiba
Neide;Itatiba;50;Seila;42;Itatiba;Jose;Seila;Santa Barbara;Americana;Sumare;Sumare;26;Sumare;Seila
62;16;59;Sumare;25;Campinas;Sumare;Itatiba;Itatiba;57;50;Campinas;59;Americana;41
Seila;Sumare;Americana;Americana;Itatiba;24;25;55;54;Not Named;Americana;Campinas;Sumare;Seila;44
Campinas;Americana;64;Seila;Itatiba;74;53;Campinas;Campinas;Campinas;Seila2;Seila;Americana;Not Named;Campinas
32;Campinas;19;Campinas;39;Americana;Itatiba;54;Americana;Maria;Campinas;73;Santa Barbara;Americana;67
41;76;41;Campinas;Americana;Not Named;Campinas;Itatiba;Sumare;Neide;Campinas;23;Itatiba;Campinas;Itatiba
Campinas;Itatiba;Campinas;53;Itatiba;Sumare;Santa Barbara;41;Americana;Sumare;Sumare;Itatiba;Neide;Neide;Santa Barbara
Sumare;Americana;Itatiba;Campinas;Americana;Not Named;Santa Barbara;48;Seila;49;Seila2;Itatiba;Maria;Campinas;Santa Barbara
Jose;Sumare;68;Americana;Campinas;Santa Barbara;43;Campinas;Seila;Seila;Seila;Americana;Sumare;Santa Barbara;Campinas
Seila2;42;Seila;43;Neide;Seila2;23;Americana;Seila;Campinas;30;Americana;Itatiba;Americana;Campinas
Santa Barbara;Jose;Seila;Santa Barbara;Itatiba;31;28;Campinas;Sumare;Neide;Americana;Not Named;Campinas;72;Campinas
21;Maria;Campinas;Santa Barbara;Seila;Sumare;64;Campinas;Campinas;23;Seila2;Not Named;10;Americana;Itatiba
Seila;Sumare;Santa Barbara;77;Maria;Sumare;21;Campinas;Maria;Maria;Itatiba;Itatiba;45;Campinas;10
16;Itatiba;13;Santa Barbara;Neide;Americana;Americana;Sumare;Americana;Santa Barbara;Jose;Seila;13;Seila2;68
Itatiba;56;Itatiba;Seila;Americana;Campinas;Seila;35;Sumare;63;Americana;Seila;Seila;Maria;Itatiba
Americana;Jose;Sumare;51;Itatiba;Campinas;Neide;Americana;56;Sumare;Campinas;35;Seila;Itatiba;Neide
60;Maria;Americana;Itatiba;23;Neide;Americana;Seila2;Sumare;13;74;37;Seila;Seila2;Campinas
60;Santa Barbara;Campinas;Itatiba;Seila;Itatiba;Seila2;11;Campinas;Neide;Itatiba;Itatiba;Campinas;Americana;Neide
65;16;Itatiba;19;Santa Barbara;Seila;Neide;Campinas;Americana;Jose;Campinas;Campinas;Seila2;Itatiba;Maria
Jose;Campinas;Campinas;Jose;Americana;Sumare;Seila2;Itatiba;74;Seila2;Itatiba;Neide;Itatiba;Sumare;Campinas
Seila;Itatiba;Campinas;74;53;Sumare;Itatiba;Itatiba;38;Jose;Itatiba;Seila2;Santa Barbara;Seila;Itatiba
Campinas;Santa Barbara;Santa Barbara;Americana;Itatiba;Americana;Sumare;Itatiba;Sumare;Itatiba;Campinas;Americana;Itatiba;Seila2;13
Americana;Sumare;Americana;Campinas;Maria;Americana;Santa Barbara;Americana;Maria;Itatiba;Seila;60;Itatiba;Sumare;32
Santa Barbara;Sumare;39;Not Named;Campinas;59;Americana;59;Itatiba;Seila;Americana;Santa Barbara;26;Not Named;Seila2
Neide;54;Itatiba;Itatiba;Not Named;Campinas;21;64;Itatiba;41;Sumare;66;Americana;Campinas;58
35;Neide;Americana;Itatiba;11;Jose;Americana;40;Itatiba;Itatiba;78;Sumare;Seila2;Maria;Seila
Itatiba;Santa Barbara;Neide;Campinas;55;34;Itatiba;Seila;17;Sumare;Santa Barbara;48;Seila;70;Campinas
Jose;Santa Barbara;70;Maria;Americana;Neide;Campinas;58;Seila2;69;Maria;Santa Barbara;Maria;Itatiba;Americana
Americana;Itatiba;51;Seila2;Neide;14;Seila;Itatiba;14;66;Itatiba;Americana;Seila2;Maria;Itatiba
56;22;34;Campinas;Neide;Maria;Campinas;73;33;Itatiba;Itatiba;Americana;Maria;Itatiba;52
Maria;20;Itatiba;68;Santa Barbara;Campinas;Campinas;Americana;41;Sumare;23;Itatiba;52;Americana;56
Seila2;Sumare;Campinas;Santa Barbara;Itatiba;Itatiba;Maria;Not Named;Maria;Campinas;48;Americana;Neide;Campinas;Seila2
Americana;Americana;Seila2;Neide;Seila;Americana;67;Seila;Jose;57;Americana;Sumare;Itatiba;Itatiba;Campinas
Seila2;Maria;Itatiba;Seila;Seila2;Neide;14;Itatiba;20;Itatiba;Seila2;Americana;70;39;Campinas
Not Named;Maria;Americana;Sumare;Campinas;Itatiba;34;29;Neide;Americana;Itatiba;Sumare;Americana;Sumare;Maria
Americana;Americana;27;Seila;52;Americana;Sumare;Itatiba;Itatiba;Neide;Itatiba;Not Named;Santa Barbara;Jose;Campinas
73;Seila;Itatiba;Itatiba;Seila;Neide;Seila2;Americana;51;73;Sumare;54;Americana;Campinas;Neide
Maria;48;32;Americana;19;Santa Barbara;Itatiba;Sumare;Campinas;Itatiba;36;Itatiba;Americana;Santa Barbara;Santa Barbara
Americana;Itatiba;59;Sumare;Santa Barbara;Campinas;Campinas;Neide;Seila2;Santa Barbara;Sumare;Campinas;Seila2;Campinas;Santa Barbara
Itatiba;42;Not Named;36;51;41;Itatiba;Maria;Americana;Americana;Sumare;Seila2;Not Named;Itatiba;Americana
Neide;Itatiba;Americana;Itatiba;24;56;Americana;Seila;28;31;46;33;Campinas;Americana;53
Americana;Itatiba;Seila;62;Americana;Santa Barbara;Americana;Not Named;53;Santa Barbara;Americana;Not Named;Seila;Santa Barbara;Sumare
Sumare;Itatiba;Seila;70;44;Campinas;Americana;Maria;Americana;Maria;62;Sumare;Sumare;31;Santa Barbara
Campinas;Itatiba;Seila2;Neide;Neide;Campinas;Seila;Santa Barbara;64;Sumare;Campinas;Seila2;Sumare;39;Seila2
Seila;Americana;59;Seila2;Americana;Sumare;Americana;Itatiba;Itatiba;71;Sumare;Americana;Seila2;Campinas;Itatiba
Americana;75;Maria;Campinas;Jose;14;Itatiba;Campinas;Itatiba;Santa Barbara;Not Named;Neide;Itatiba;Americana;Seila2
Seila2;Santa Barbara;41;Americana;Neide;47;Not Named;66;Sumare;38;52;Santa Barbara;67;Americana;Americana
Campinas;Americana;Itatiba;Not Named;51;Itatiba;31;Santa Barbara;Not Named;Campinas;Sumare;Itatiba;Americana;Itatiba;Sumare
Campinas;Itatiba;Campinas;Itatiba;Campinas;27;51;Campinas;Seila2;Seila2;Itatiba;61;Sumare;57;Campinas
37;Seila;52;Sumare;Itatiba;Campinas;Santa Barbara;Americana;Jose;63;Sumare;Itatiba;Santa Barbara;35;Neide
12;Americana;42;Maria;17;Maria;43;63;Itatiba;41;Itatiba;Campinas;Americana;Itatiba;Americana
Sumare;Itatiba;25;Neide;57;Neide;Santa Barbara;Seila2;Itatiba;Itatiba;Not Named;28;Americana;43;Seila2
17;12;Sumare;Seila;47;Sumare;Americana;Maria;Campinas;Maria;35;Maria;Santa Barbara;Seila2;Americana
71;Itatiba;Neide;Campinas;Maria;Campinas;Americana;Santa Barbara;Seila2;Maria;Seila;Santa Barbara;59;Americana;Itatiba
Campinas;Campinas;Seila;12;Seila;Santa Barbara;Jose;Americana;Sumare;Americana;Santa Barbara;Itatiba;Neide;Campinas;Americana
Campinas;28;Campinas;Itatiba;Seila2;29;Santa Barbara;Americana;28;Seila2;42;Americana;43;Americana;55
Maria;Itatiba;Campinas;66;Campinas;Neide;Sumare;66;Campinas;Campinas;Sumare;Seila2;70;Seila2;36
21;58;Campinas;11;31;35;45;Seila;Maria;Campinas;Sumare;Seila;34;Not Named;Americana
Sumare;Itatiba;Santa Barbara;Campinas;Seila;Neide;Maria;Neide;Sumare;Campinas;Seila2;Americana;Neide;18;Itatiba
Campinas;Seila2;Sumare;Americana;Itatiba;Neide;Santa Barbara;Santa Barbara;69;Seila;Maria;Maria;Campinas;50;Seila
32;Seila;Seila2;Seila;Americana;72;35;27;Campinas;Americana;Campinas;Campinas;Campinas;40;Americana
Sumare;Americana;Not Named;Campinas;Neide;Americana;Maria;Sumare;18;Campinas;Campinas;Campinas;48;Itatiba;44
Campinas;Americana;19;Campinas;Neide;Itatiba;Seila;Americana;48;Seila;Americana;Seila2;Campinas;Santa Barbara;Americana
29;Itatiba;Americana;30;Jose;Itatiba;Itatiba;28;Sumare;11;Seila2;Itatiba;Sumare;Not Named;Americana
Itatiba;36;Itatiba;Americana;41;Campinas;Itatiba;Campinas;Americana;Sumare;Neide;Americana;32;Itatiba;Campinas
Santa Barbara;Santa Barbara;17;Santa Barbara;33;Neide;Seila;Campinas;Seila2;Campinas;Campinas;23;Jose;Americana;Santa Barbara
Itatiba;Sumare;Neide;Santa Barbara;Americana;51;Itatiba;Americana;Seila2;Itatiba;57;Seila2;Sumare;Sumare;77
Campinas;61;Itatiba;52;Itatiba;56;Americana;Itatiba;Campinas;Itatiba;43;Campinas;Americana;Seila2;31
26;Santa Barbara;Santa Barbara;Santa Barbara;41;Not Named;Campinas;54;Maria;Santa Barbara;Campinas;Neide;Sumare;Campinas;Americana
Sumare;28;Itatiba;23;Campinas;51;Seila;27;Campinas;Americana;55;Seila;Santa Barbara;Itatiba;Campinas
Not Named;Campinas;Seila2;Maria;16;Seila;40;Itatiba;Americana;Maria;Sumare;61;Seila;Seila2;Maria
57;Itatiba;Itatiba;Seila2;Americana;44;Itatiba;Americana;Maria;Itatiba;Itatiba;Santa Barbara;38;Itatiba;75
Itatiba;Seila2;Seila2;Seila2;Sumare;Seila2;Seila;Americana;Sumare;31;78;Itatiba;12;Sumare;Campinas
Itatiba;69;Sumare;Santa Barbara;Americana;50;Santa Barbara;Itatiba;65;Itatiba;Santa Barbara;Americana;40;74;Neide
28;Maria;48;Jose;Sumare;Neide;Americana;Campinas;Americana;40;Itatiba;Americana;35;Seila2;Campinas
Seila;71;Seila2;Santa Barbara;Itatiba;Itatiba;Sumare;Americana;Neide;70;Santa Barbara;Itatiba;Itatiba;Itatiba;Not Named
Itatiba;Itatiba;Campinas;Campinas;Maria;Seila;Santa Barbara;28;Americana;Itatiba;Jose;Maria;Itatiba;Sumare;Seila
Neide;Santa Barbara;Campinas;Itatiba;13;Neide;Santa Barbara;Americana;34;Seila;Itatiba;Seila;Itatiba;Americana;Seila
48;Campinas;Santa Barbara;Seila;30;51;Seila;14;72;Itatiba;15;Seila2;Itatiba;Americana;Campinas
71;Neide;Americana;18;Seila;Campinas;40;Seila;28;Santa Barbara;21;Itatiba;Americana;59;Maria
66;49;Seila;Itatiba;Sumare;Campinas;Americana;Itatiba;Neide;Itatiba;Neide;Itatiba;Neide;17;Not Named
Itatiba;Americana;12;Neide;Santa Barbara;Itatiba;Seila2;Sumare;60;39;Americana;73;74;Campinas;52
Neide;Seila;Americana;20;Santa Barbara;Campinas;Sumare;Sumare;Americana;Santa Barbara;Itatiba;Jose;Itatiba;Campinas;63
Americana;Santa Barbara;43;62;Santa Barbara;Sumare;39;68;Americana;Campinas;58;Seila2;19;Americana;Campinas
42;20;54;Seila2;Maria;19;Seila;19;59;77;Maria;Campinas;Not Named;Maria;Itatiba
19;67;Americana;Seila;Neide;66;Campinas;Sumare;Seila;Campinas;Sumare;Itatiba;Americana;Sumare;Campinas
17;Itatiba;Not Named;Americana;77;Americana;Maria;Sumare;Seila2;Sumare;Americana;Sumare;Itatiba;18;Santa Barbara
Neide;Maria;Campinas;73;37;Maria;Itatiba;62;Itatiba;Americana;Americana;Santa Barbara;Maria;Seila2;Campinas
Maria;Maria;Itatiba;Sumare;Itatiba;Itatiba;Santa Barbara;Sumare;Santa Barbara;Campinas;Maria;Americana;Americana;Itatiba;Maria
10;Neide;Itatiba;33;34;Seila2;19;Neide;Seila;Americana;54;Sumare;Campinas;Maria;Itatiba
30;12;Campinas;Campinas;Americana;30;Santa Barbara;Campinas;Santa Barbara;Campinas;Neide;Seila2;39;27;67
Maria;Itatiba;24;Sumare;Seila2;72;23;Itatiba;60;50;Itatiba;Americana;66;Maria;Americana
65;Seila2;Santa Barbara;Neide;45;Neide;Itatiba;Neide;Campinas;27;Itatiba;71;47;35;Campinas
Itatiba;Itatiba;Jose;Seila2;40;Campinas;Not Named;39;Maria;Seila;Campinas;68;23;41;46
Itatiba;Seila;Seila;Seila;Americana;39;Itatiba;Campinas;Itatiba;Itatiba;Americana;50;10;Itatiba;44
Campinas;Campinas;51;76;16;49;Itatiba;Campinas;Americana;Santa Barbara;74;72;22;Seila;Seila
65;Seila2;11;Campinas;20;Seila2;Campinas;33;73;14;Americana;Campinas;Itatiba;Sumare;Campinas
Itatiba;Sumare;Campinas;Sumare;Neide;Santa Barbara;Campinas;Seila;Sumare;21;Itatiba;Americana;Seila;Americana;Campinas
Campinas;Americana;Jose;Santa Barbara;Americana;Itatiba;44;36;Itatiba;Campinas;Santa Barbara;Seila;Maria;Seila2;Maria
Seila;40;Sumare;Not Named;Itatiba;17;32;68;Neide;Seila2;Seila2;Neide;Campinas;Itatiba;Americana
10;Americana;Campinas;65;Jose;62;Itatiba;Americana;Itatiba;Itatiba;Seila;Neide;Sumare;Santa Barbara;26
Santa Barbara;Itatiba;Itatiba;Campinas;35;Santa Barbara;Itatiba;Americana;Seila;Maria;58;Campinas;Campinas;Itatiba;45
Americana;Neide;Campinas;Americana;Americana;74;Jose;Santa Barbara;Seila2;Seila2;34;Seila2;Itatiba;45;Not Named
Itatiba;Campinas;Sumare;Seila2;Campinas;Seila;14;Campinas;Americana;33;61;58;Neide;Campinas;Itatiba
41;Itatiba;Sumare;Seila;Americana;Americana;Americana;Seila;Santa Barbara;Itatiba;Itatiba;Itatiba;Neide;Sumare;Campinas
65;Maria;78;17;73;Neide;44;Americana;Neide;Itatiba;35;65;25;24;Americana
Americana;Campinas;Americana;Americana;Neide;Seila2;46;11;Itatiba;Seila;21;Campinas;Jose;Neide;Santa Barbara
Itatiba;Americana;Seila2;44;27;Americana;Itatiba;Sumare;Seila2;Campinas;32;41;Campinas;Itatiba;Seila2
Campinas;Itatiba;62;Itatiba;37;Seila;Itatiba;Itatiba;Seila;21;Itatiba;47;Neide;Campinas;55
65;69;Campinas;Maria;34;Americana;Itatiba;Neide;56;Seila;Americana;Not Named;Not Named;Maria;Sumare
Seila;Santa Barbara;Maria;Not Named;59;Itatiba;Americana;Itatiba;67;37;Sumare;Seila2;71;Campinas;30
Campinas;Itatiba;29;Itatiba;70;Neide;50;49;Campinas;Campinas;Neide;Santa Barbara;Campinas;Americana;Campinas
Itatiba;Seila;Santa Barbara;Campinas;Santa Barbara;Santa Barbara;Jose;41;Seila2;Neide;Seila2;Itatiba;64;Campinas;50
Americana;Jose;Itatiba;Sumare;Santa Barbara;40;Neide;Sumare;Campinas;Americana;Neide;Itatiba;Americana;Sumare;Itatiba
Not Named;Neide;Americana;39;Sumare;Americana;Americana;Maria;Itatiba;Sumare;Itatiba;48;Americana;Campinas;Maria
Seila2;45;49;Seila;Campinas;Campinas;Jose;Campinas;Seila;57;Americana;Sumare;Campinas;Itatiba;Seila
Americana;Santa Barbara;Itatiba;Campinas;48;Seila2;41;Campinas;Seila;Maria;Santa Barbara;Sumare;40;Seila;Americana
Americana;Americana;Santa Barbara;Itatiba;Americana;Jose;Seila2;Americana;Seila2;Not Named;Campinas;Seila2;Seila2;Santa Barbara;Seila
Itatiba;Campinas;24;49;Jose;Neide;Americana;Sumare;62;Campinas;Sumare;50;Itatiba;Seila;Seila
Campinas;Sumare;43;Sumare;Sumare;Maria;Itatiba;Campinas;Jose;16;Not Named;Americana;Campinas;Sumare;Americana
Seila;Seila2;43;Campinas;55;Itatiba;Americana;Sumare;Seila;Not Named;Santa Barbara;Itatiba;Sumare;Itatiba;Americana
Itatiba;Neide;Neide;62;Americana;Campinas;15;Santa Barbara;Americana;Neide;Americana;Campinas;Campinas;Santa Barbara;Seila2
Americana;Itatiba;Seila2;35;Seila2;37;Santa Barbara;75;50;Santa Barbara;Not Named;26;Campinas;Sumare;Maria
Campinas;Seila2;Itatiba;27;Neide;39;36;Seila;59;Itatiba;Americana;Sumare;Americana;Seila;65
Not Named;Jose;Americana;Americana;Santa Barbara;Seila;27;Campinas;Americana;Americana;Seila2;Neide;Campinas;Seila;Campinas
64;43;Sumare;Santa Barbara;Campinas;Americana;Sumare;Seila;44;47;Seila;52;Seila2;47;67
63;Not Named;12;Itatiba;77;Neide;44;21;Seila2;Seila2;Itatiba;43;44;30;Campinas
53;22;Sumare;Seila2;Seila;Campinas;Campinas;Campinas;Itatiba;Campinas;Santa Barbara;74;Sumare;29;Itatiba
Jose;Itatiba;51;Campinas;17;Americana;Santa Barbara;74;Americana;Maria;Jose;Jose;Seila;Itatiba;Itatiba
Neide;66;Americana;Itatiba;Not Named;Campinas;Sumare;Itatiba;Santa Barbara;47;Americana;72;Itatiba;13;Itatiba
70;Jose;32;Americana;Campinas;Maria;Itatiba;76;Campinas;Santa Barbara;27;Americana;Itatiba;Seila;Maria
Sumare;Sumare;Sumare;Itatiba;Santa Barbara;Campinas;50;Seila;Sumare;Campinas;Itatiba;Sumare;Itatiba;54;Campinas
Sumare;Campinas;Campinas;Americana;Sumare;69;Santa Barbara;Americana;44;Seila;71;Santa Barbara;27;Not Named;Itatiba
21;Itatiba;Neide;Maria;Santa Barbara;Americana;Sumare;Sumare;Itatiba;Americana;Seila2;44;Itatiba;Santa Barbara;Americana
Campinas;Sumare;Campinas;Americana;Itatiba;Maria;61;50;Itatiba;Not Named;Jose;Seila2;Campinas;Itatiba;Campinas
Campinas;Americana;Neide;Americana;61;Not Named;Campinas;Itatiba;Seila;Itatiba;Santa Barbara;66;65;Not Named;51
Itatiba;67;Jose;Campinas;Neide;15;Santa Barbara;Americana;73;Maria;Campinas;Seila2;Santa Barbara;Itatiba;Campinas
74;Americana;Neide;Sumare;Santa Barbara;Not Named;Itatiba;Campinas;Campinas;Americana;Campinas;Campinas;Americana;50;Santa Barbara
Americana;34;Santa Barbara;Itatiba;Itatiba;Santa Barbara;19;Campinas;Americana;Americana;Seila;Sumare;Campinas;Not Named;67
Seila;Americana;Americana;Neide;68;Seila2;66;62;Neide;Itatiba;33;41;Maria;Neide;Maria
Campinas;Americana;15;Americana;27;30;Americana;Seila2;Santa Barbara;Itatiba;Sumare;44;39;Jose;Sumare
Americana;Santa Barbara;Itatiba;Maria;Campinas;Itatiba;42;Seila;Maria;Jose;Itatiba;77;19;Seila;Maria
32;Campinas;Campinas;34;Campinas;Maria;67;Sumare;76;Americana;Maria;Jose;Seila2;Sumare;Sumare
Americana;48;Neide;Maria;Campinas;Itatiba;37;Itatiba;Maria;Itatiba;Santa Barbara;Neide;Itatiba;Jose;Americana
17;21;Americana;13;Campinas;Itatiba;Campinas;75;Santa Barbara;Maria;Americana;Sumare;Sumare;Santa Barbara;Neide
Jose;70;Santa Barbara;Sumare;Americana;Maria;Sumare;Seila2;Campinas;Itatiba;Sumare;Itatiba;Jose;Maria;41
